,REF_DATE,GEO,New housing price indexes,UOM,HPI_vancouver_bc
357,2010-10,"Vancouver, British Columbia",House only,"Index, 201612=100",95.1
358,2010-11,"Vancouver, British Columbia",House only,"Index, 201612=100",94.8
359,2010-12,"Vancouver, British Columbia",House only,"Index, 201612=100",94.7
360,2011-01,"Vancouver, British Columbia",House only,"Index, 201612=100",94.7
361,2011-02,"Vancouver, British Columbia",House only,"Index, 201612=100",94.9
362,2011-03,"Vancouver, British Columbia",House only,"Index, 201612=100",95.2
363,2011-04,"Vancouver, British Columbia",House only,"Index, 201612=100",95.3
364,2011-05,"Vancouver, British Columbia",House only,"Index, 201612=100",95.6
365,2011-06,"Vancouver, British Columbia",House only,"Index, 201612=100",95.7
366,2011-07,"Vancouver, British Columbia",House only,"Index, 201612=100",95.7
367,2011-08,"Vancouver, British Columbia",House only,"Index, 201612=100",95.1
368,2011-09,"Vancouver, British Columbia",House only,"Index, 201612=100",95.2
369,2011-10,"Vancouver, British Columbia",House only,"Index, 201612=100",95.0
370,2011-11,"Vancouver, British Columbia",House only,"Index, 201612=100",94.6
