,REF_DATE,GEO,New housing price indexes,UOM,HPI_charlottetown_pei
285,2004-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",94.3
286,2004-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",94.3
287,2004-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",94.3
288,2005-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",94.3
289,2005-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",95.6
290,2005-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",95.4
291,2005-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",95.9
292,2005-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",96.6
293,2005-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",97.1
294,2005-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",97.1
295,2005-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",97.9
296,2005-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",98.6
297,2005-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",98.4
298,2005-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",98.4
299,2005-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",97.9
300,2006-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",96.3
301,2006-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",95.9
302,2006-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",97.9
303,2006-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",97.9
304,2006-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",99.2
305,2006-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",99.2
306,2006-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",99.7
307,2006-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",99.8
308,2006-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",99.5
309,2006-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",99.5
310,2006-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",100.2
311,2006-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",100.2
