,REF_DATE,GEO,New housing price indexes,UOM,HPI_guelph_ont
405,2014-10,"Guelph, Ontario",House only,"Index, 201612=100",
406,2014-11,"Guelph, Ontario",House only,"Index, 201612=100",
407,2014-12,"Guelph, Ontario",House only,"Index, 201612=100",
408,2015-01,"Guelph, Ontario",House only,"Index, 201612=100",
409,2015-02,"Guelph, Ontario",House only,"Index, 201612=100",
410,2015-03,"Guelph, Ontario",House only,"Index, 201612=100",
411,2015-04,"Guelph, Ontario",House only,"Index, 201612=100",
412,2015-05,"Guelph, Ontario",House only,"Index, 201612=100",
413,2015-06,"Guelph, Ontario",House only,"Index, 201612=100",
414,2015-07,"Guelph, Ontario",House only,"Index, 201612=100",
415,2015-08,"Guelph, Ontario",House only,"Index, 201612=100",
416,2015-09,"Guelph, Ontario",House only,"Index, 201612=100",
417,2015-10,"Guelph, Ontario",House only,"Index, 201612=100",
418,2015-11,"Guelph, Ontario",House only,"Index, 201612=100",
419,2015-12,"Guelph, Ontario",House only,"Index, 201612=100",
420,2016-01,"Guelph, Ontario",House only,"Index, 201612=100",
421,2016-02,"Guelph, Ontario",House only,"Index, 201612=100",
422,2016-03,"Guelph, Ontario",House only,"Index, 201612=100",
423,2016-04,"Guelph, Ontario",House only,"Index, 201612=100",
424,2016-05,"Guelph, Ontario",House only,"Index, 201612=100",
425,2016-06,"Guelph, Ontario",House only,"Index, 201612=100",
426,2016-07,"Guelph, Ontario",House only,"Index, 201612=100",
427,2016-08,"Guelph, Ontario",House only,"Index, 201612=100",
428,2016-09,"Guelph, Ontario",House only,"Index, 201612=100",
